"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
892,"7600110000000002200216","0295","Urbanizacion La Flora","La Flora",0.7470104362865,1,0.3763739930771,0,0.270072981602509,0,0.264749102918051,0,1,0,0,0,2,0,0,2
893,"7600110000000002200217","0295","Urbanizacion La Flora","La Flora",0.320706052696823,0,0.217105260661271,0,0.621312539153593,1,0.4271819466857,0,1,1,1,1,0,1,0,0
894,"7600110000000002200220","0295","Urbanizacion La Flora","La Flora",2.68544993894993,3,1.71305311355311,2,1.2427210251622,1,2.56502997507042,3,2,2,6,2,3,1,0,2
895,"7600110000000002200114","0295","Urbanizacion La Flora","La Flora",0.122287126439157,0,0.122287126439157,0,0.149224576572222,0,0.115055754816565,0,0,0,0,0,0,0,1,0
896,"7600110000000002110412","0211","Prados del Norte","La Flora",0.456896036676252,0,1.21225307933359,1,0.770887431600117,1,1.57460733097873,2,0,0,0,1,0,0,0,2
897,"7600110000000002110411","0211","Prados del Norte","La Flora",0.38835556171859,0,0.494810945740665,0,0.416938564627182,0,0.822485530971279,1,1,2,0,0,1,0,1,1
898,"7600110000000002110408","0211","Prados del Norte","La Flora",0.22802207753659,0,0.139288923121998,0,0.236329455419144,0,0.285986727204783,0,0,0,1,0,0,1,0,1
899,"7600110000000002110407","0211","Prados del Norte","La Flora",0.144564256289461,0,0.22802207753659,0,0.0995683126958051,0,0.245299556511904,0,0,0,0,1,0,0,0,0
900,"7600110000000002110403","0211","Prados del Norte","La Flora",0.777383846669885,1,0.479876530388306,0,0.845087758621559,1,0.340844734697611,0,1,0,1,0,1,1,1,0
901,"7600110000000002110402","0211","Prados del Norte","La Flora",1.50022807963504,2,1.0412755262107,1,1.21632284084412,1,0.573036882716579,1,0,0,2,1,3,0,1,0
902,"7600110000000002110404","0211","Prados del Norte","La Flora",0.22802207753659,0,0.0964820595809935,0,0.417673502488843,0,0.399406081238495,0,0,0,1,0,0,0,1,0
903,"7600110000000002110420","0211","Prados del Norte","La Flora",0.491375337998603,0,0.630144858616509,1,0.790911786713077,1,0.736816919056661,1,1,0,1,0,0,2,1,0
904,"7600110000000002110409","0211","Prados del Norte","La Flora",0.259000414766201,0,0.352783585328301,0,0.329870606960836,0,0.142795253800549,0,1,0,0,0,0,0,1,0
